,Year,AQI,Score,CRD_deaths_females,COPD_deaths_females,CRD_deaths_males,COPD_deaths_males,CRD_deaths_both,COPD_deaths_both
0,1980,33.05167820990943,1.6027827883972323,35.4627036348757,29.6451187930957,89.6027359798012,80.4936281705166,56.3306142605684,49.2241885906723
1,1981,23.94665109034268,2.4477485621175474,36.3680593615811,30.5268285444874,91.0335451413113,82.0890500521713,57.4077058861977,50.3592287595942
2,1982,26.93011851246424,1.3948853499559155,36.6158754988115,30.7842710628721,90.7217617978491,81.8862104387192,57.4269360885952,50.4272871466033
3,1983,27.655958162121777,2.442225504900141,38.3140398291481,32.3540842700834,92.2065849865539,83.4653658234545,59.0442200758681,51.9992739936131
4,1984,27.204707860445566,2.457773305546363,40.1702886044509,34.0014250734589,93.364609030082,84.5698025255962,60.5770605056408,53.3820734880513
5,1985,26.959016393442624,4.068127621738665,42.2566830834583,35.7647061862406,96.4437166797085,87.4463525677413,63.0931181785289,55.6205827771118
6,1986,23.50657894736842,2.636716796143294,43.6396495826548,37.0751419662699,97.7441636136195,88.6954328059934,64.4143574590172,56.8741365272425
7,1987,20.30128205128205,2.9070448875004686,45.896088632922,39.0988827368037,97.6426903835616,88.5589861592098,65.7598215213843,58.0604420345801
8,1988,24.245098039215687,7.580542928362021,49.7423702947212,42.6318203595432,102.316501654869,92.9827880683246,69.9258986418686,61.9360811679614
9,1989,23.75,5.693242367925225,50.6540432998053,43.3892036293891,100.14762927027,90.711947213635,69.6762046199025,61.5486103546979
10,1990,18.59259259259259,3.464788472008232,50.9220140301161,43.6743494711102,103.313079596599,93.7855879972545,71.1626177981277,63.0042984315105
11,1991,18.91176470588235,3.345375037095204,53.7315791101998,46.2420181765631,104.987964555622,95.1488378783318,73.4053224057248,64.9804665567051
12,1995,19.73333333333333,2.861071983769522,66.2026335920795,57.8110787826607,110.570001255786,100.375470262811,82.6838247227996,73.594449377406
13,1996,22.98275862068965,7.11472405287311,66.7785781474219,58.3929382138217,116.543026389714,106.045450428266,85.3593480196763,76.1494728798826
14,1999,34.80555555555556,4.665092694795789,79.081747183335,69.9816602880506,119.941432834587,109.300656043788,94.0839429822221,84.3770930665099
15,2000,31.321428571428573,6.367300318681442,82.1310501003628,73.0671435927494,123.000993097045,112.071798052168,97.1302787059072,87.3312580734012
16,2001,29.64485981308411,3.1949085404864204,83.5801113205728,74.3691861102452,128.462135007928,117.361084092084,100.299154003357,90.3303487097751
17,2002,32.24390243902439,5.653131031860634,85.0294964794588,75.9696495312931,126.017589017741,114.818685279122,100.647697624909,90.7084715709523
18,2003,31.747967479674795,4.296531641229781,86.1458278953352,77.073574706949,123.729625880275,112.848354619344,100.44781566489,90.6349811758961
19,2004,31.728,2.896468103883082,88.0479868981412,79.1543776184663,120.179806307628,109.375689152266,100.335208922177,90.6431697968866
20,2005,32.3191637630662,5.041173310130859,86.9729698582232,78.1199668240522,121.105982379773,110.311112072531,100.31494144902,90.639032576587
21,2006,32.096311475409834,8.208380307259178,87.4018566525001,78.5028006123672,122.881467409807,112.126430225657,101.463260993705,91.775536794091
22,2007,34.58765778401122,5.116690596883688,86.1301457430589,77.6292801556328,121.614504079143,110.957862674384,100.291295639672,90.8723634725191
23,2008,34.61523988711195,16.998078113896756,86.5101679698123,78.1090350964036,125.1332695723,114.395231900865,102.018806135277,92.6187399561002
24,2009,30.439591078066915,6.731057190825172,89.5614502404313,81.1517942650805,123.154007313948,112.484391758867,103.000543833917,93.6264103580591
25,2010,30.275291828793776,2.862790809724711,88.865813026839,80.53675545688,120.592648637949,110.003382475601,101.520423471239,92.2251365358049
26,2011,38.96448863636363,4.6526372099005595,88.0280146264753,79.6447251032553,125.869443716567,115.111518664151,103.222832813373,93.8176073673068
27,2012,35.26111111111111,5.501804264046605,89.3458199079019,80.9933210110948,123.544611171834,112.979555712227,103.088193441256,93.7743374758449
28,2013,31.559888579387188,3.080982762608361,85.9961055556584,77.9423490653995,124.801847732723,114.199071960379,101.933820606037,92.7617734997173
29,2014,33.42520775623269,4.295039742470821,88.6499321095343,80.3300989106951,130.447948512956,119.889479079566,105.830532162132,96.5155385774952
